packet_timestamp,time,vel_x,vel_y,vel_z,vel_mag
5276.25,5276.35,0.0,0.0,0.0,0.0
5276.25,5276.45,0.0,0.0,0.0,0.0
5276.25,5276.55,0.0,0.0,0.0,0.0
5276.25,5276.65,0.0,0.0,0.0,0.0
5276.25,5276.75,0.0,0.0,0.0,0.0
5276.25,5276.85,0.0,0.0,0.0,0.0
5276.25,5276.95,0.0,0.0,0.0,0.0
5276.25,5277.05,0.0,0.0,0.0,0.0
5276.25,5277.15,0.0,0.0,0.0,0.0
5277.25,5277.25,0.0,0.0,0.0,0.0
5277.25,5277.35,0.0,0.0,0.0,0.0
5277.25,5277.45,0.0,0.0,0.0,0.0
5277.25,5277.55,0.0,0.0,0.0,0.0
5277.25,5277.65,0.0,0.0,0.0,0.0
5277.25,5277.75,0.0,0.0,0.0,0.0
5277.25,5277.85,0.0,0.0,0.0,0.0
5277.25,5277.95,0.0,0.0,0.0,0.0
5277.25,5278.05,0.0,0.0,0.0,0.0
5277.25,5278.15,0.0,0.0,0.0,0.0
5278.25,5278.25,0.0,0.0,0.0,0.0
5278.25,5278.35,0.0,0.0,0.0,0.0
5278.25,5278.45,0.0,0.0,0.0,0.0
5278.25,5278.55,0.0,0.0,0.0,0.0
5278.25,5278.65,0.0,0.0,0.0,0.0
5278.25,5278.75,0.0,0.0,0.0,0.0
5278.25,5278.85,0.0,0.0,0.0,0.0
5278.25,5278.95,0.0,0.0,0.0,0.0
5278.25,5279.05,0.0,0.0,0.0,0.0
5278.25,5279.15,0.0,0.0,0.0,0.0
5279.25,5279.25,0.0,0.0,0.0,0.0
5279.25,5279.35,0.0,0.0,0.0,0.0
5279.25,5279.45,0.0,0.0,0.0,0.0
5279.25,5279.55,0.0,0.0,0.0,0.0
5279.25,5279.65,0.0,0.0,0.0,0.0
5279.25,5279.75,0.0,0.0,0.0,0.0
5279.25,5279.85,0.0,0.0,0.0,0.0
5279.25,5279.95,0.0,0.0,0.0,0.0
5279.25,5280.05,0.0,0.0,0.0,0.0
5279.25,5280.15,0.0,0.0,0.0,0.0
5280.25,5280.25,0.0,0.0,0.0,0.0
5280.25,5280.35,0.0,0.0,0.0,0.0
5280.25,5280.45,0.0,0.0,0.0,0.0
5280.25,5280.55,0.0,0.0,0.0,0.0
5280.25,5280.65,0.0,0.0,0.0,0.0
5280.25,5280.75,0.0,0.0,0.0,0.0
5280.25,5280.85,0.0,0.0,0.0,0.0
5280.25,5280.95,0.0,0.0,0.0,0.0
5280.25,5281.05,0.0,0.0,0.0,0.0
5280.25,5281.15,0.0,0.0,0.0,0.0
5281.25,5281.25,0.0,0.0,0.0,0.0
5281.25,5281.35,0.0,0.0,0.0,0.0
