packet_timestamp,time,acc_x,acc_y,acc_z,acc_mag
5264.25,5264.25,9.873,-0.6759999999999999,-0.118,9.896907482069905
5264.25,5264.35,9.868,-0.737,-0.108,9.89628273030728
5264.25,5264.45,9.873333333333331,-0.7844444444444445,-0.1977777777777777,9.906545573952396
5264.25,5264.55,9.895454545454546,-0.7563636363636363,-0.2436363636363636,9.92746877113771
5264.25,5264.65,9.886666666666663,-0.6955555555555555,-0.2911111111111111,9.91549598743307
5264.25,5264.75,9.863,-0.71,-0.303,9.893311937959936
5264.25,5264.85,9.872,-0.787,-0.205,9.905550194098652
5264.25,5264.95,9.86,-0.78,-0.2033333333333333,9.893016793247886
5264.25,5265.05,9.85090909090909,-0.7372727272727272,-0.1227272727272727,9.879346469827974
5264.25,5265.15,9.896,-0.682,-0.099,9.920152647375303
5265.25,5265.25,9.904444444444444,-0.7722222222222223,-0.2322222222222222,9.937300811717316
5265.25,5265.35,9.873,-0.789,-0.243,9.90763761271879
5265.25,5265.45,9.825555555555557,-0.7577777777777777,-0.25,9.85812222556961
5265.25,5265.55,9.878181818181815,-0.6854545454545454,-0.3,9.90665041467663
5265.25,5265.65,9.875,-0.7180000000000001,-0.1709999999999999,9.90270387340948
5265.25,5265.75,9.878888888888888,-0.7944444444444445,-0.2333333333333333,9.91372586778224
5265.25,5265.85,9.88,-0.7609999999999999,-0.162,9.910965076227642
5265.25,5265.95,9.888,-0.7190000000000001,-0.0809999999999999,9.914696524232186
5265.25,5266.05,9.871,-0.718,-0.179,9.89887933647771
5265.25,5266.15,9.859,-0.744,-0.2009999999999999,9.889279525085188
5266.25,5266.25,9.827777777777776,-0.7999999999999999,-0.2633333333333333,9.86393725160456
5266.25,5266.35,9.878,-0.734,-0.3279999999999999,9.910912089931012
5266.25,5266.45,9.88,-0.6933333333333334,-0.3266666666666667,9.910271395127555
5266.25,5266.55,9.877,-0.742,-0.139,9.905928883543304
5266.25,5266.65,9.869,-0.795,-0.135,9.902020161855692
5266.25,5266.75,9.866,-0.778,-0.064,9.89705770771025
5266.25,5266.85,9.883,-0.681,-0.124,9.907587870754345
5266.25,5266.95,9.866666666666667,-0.7244444444444444,-0.2844444444444444,9.89757888527576
5266.25,5267.05,9.884,-0.753,-0.297,9.917274632527034
5266.25,5267.15,9.839,-0.792,-0.357,9.87744832459164
5267.25,5267.25,9.881,-0.726,-0.339,9.913845146691086
5267.25,5267.35,9.877,-0.692,-0.086,9.90175283709816
5267.25,5267.45,9.858888888888888,-0.7477777777777778,-0.1433333333333333,9.888441613473718
5267.25,5267.55,9.87,-0.7929999999999999,-0.114,9.902782688333623
5267.25,5267.65,9.86,-0.76,-0.1066666666666666,9.890021196903142
5267.25,5267.75,9.876,-0.6979999999999998,-0.286,9.905029580007067
5267.25,5267.85,9.863,-0.7160000000000001,-0.327,9.89451383812293
5267.25,5267.95,9.875555555555556,-0.7544444444444444,-0.2955555555555555,9.908982030249984
5267.25,5268.05,9.86181818181818,-0.7563636363636363,-0.2763636363636364,9.894874818918096
5267.25,5268.15,9.851111111111113,-0.74,-0.0966666666666666,9.880066196714903
5268.25,5268.25,9.874,-0.7350000000000001,-0.099,9.90221894170305
5268.25,5268.35,9.864,-0.736,-0.119,9.892676391155147
5268.25,5268.45,9.875,-0.767,-0.163,9.906601058767633
5268.25,5268.55,9.905,-0.718,-0.32,9.936488550110376
5268.25,5268.65,9.885555555555555,-0.7255555555555555,-0.3288888888888889,9.918219861053071
5268.25,5268.75,9.84,-0.748,-0.209,9.870978027786451
5268.25,5268.85,9.883636363636365,-0.7645454545454545,-0.21,9.91572157406658
5268.25,5268.95,9.894444444444444,-0.7488888888888889,-0.21,9.925277723102568
5268.25,5269.05,9.87,-0.746,-0.093,9.898733406475497
5268.25,5269.15,9.858888888888888,-0.7522222222222221,-0.1933333333333333,9.889568687932336
5269.25,5269.25,9.843,-0.7329999999999999,-0.239,9.873338472154256
5269.25,5269.35,9.846363636363636,-0.7,-0.2172727272727272,9.873806120755203
5269.25,5269.45,9.846666666666666,-0.7799999999999999,-0.1622222222222222,9.879196758038225
5269.25,5269.55,9.865,-0.788,-0.192,9.898510127448684
5269.25,5269.65,9.896,-0.7070000000000001,-0.2319999999999999,9.9243083010287
5269.25,5269.75,9.86111111111111,-0.6433333333333333,-0.1144444444444444,9.882995715109658
5269.25,5269.85,9.861818181818183,-0.7599999999999999,-0.2527272727272727,9.894819925350896
5269.25,5269.95,9.89777777777778,-0.8133333333333334,-0.3055555555555556,9.936094250473552
5269.25,5270.05,9.867,-0.73,-0.156,9.895375728370317
5269.25,5270.15,9.905,-0.672,-0.2599999999999999,9.931341344458255
5270.25,5270.25,9.876666666666669,-0.7011111111111111,-0.22,9.904321914758205
5270.25,5270.35,9.847272727272726,-0.7763636363636363,-0.1327272727272727,9.87896332809614
5270.25,5270.45,9.863,-0.791,-0.267,9.89843665193709
5270.25,5270.55,9.868888888888888,-0.71,-0.1766666666666666,9.896091682694596
5270.25,5270.65,9.885000000000002,-0.68,-0.194,9.910544080380308
5270.25,5270.75,9.906666666666668,-0.7455555555555555,-0.2822222222222222,9.938927287306091
5270.25,5270.85,9.874545454545451,-0.8209090909090908,-0.1618181818181818,9.910113642263692
5270.25,5270.95,9.866,-0.767,-0.2299999999999999,9.898726496244675
5270.25,5271.05,9.877,-0.671,-0.19,9.901908835109356
5270.25,5271.15,9.869999999999996,-0.69,-0.1177777777777777,9.894996410696557
5271.25,5271.25,9.909,-0.7859999999999999,-0.262,9.943741183261915
5271.25,5271.35,9.837,-0.8030000000000002,-0.134,9.87091906154862
5271.25,5271.45,9.866,-0.7510000000000001,-0.197,9.896924046372613
5271.25,5271.55,9.862,-0.6579999999999999,-0.2649999999999999,9.888057376148216
5271.25,5271.65,9.897777777777778,-0.6933333333333334,-0.0255555555555555,9.922280951285762
5271.25,5271.75,9.897,-0.827,-0.308,9.936979942439828
5271.25,5271.85,9.878,-0.752,-0.177,9.90993844052998
5271.25,5271.95,9.903,-0.7020000000000001,-0.029,9.928417315868394
5271.25,5272.05,9.864999999999998,-0.6900000000000001,-0.421,9.899760064208635
5271.25,5272.15,9.90111111111111,-0.7033333333333334,-0.1577777777777778,9.92953883413721
5272.25,5272.25,9.897,-0.772,-0.0249999999999999,9.929437173862992
5272.25,5272.35,9.888,-0.7809999999999999,-0.3450000000000001,9.927381431562852
5272.25,5272.45,9.885000000000002,-0.721,-0.1139999999999999,9.913211908591274
5272.25,5272.55,9.851818181818182,-0.6927272727272726,-0.1009090909090908,9.87893089109145
5272.25,5272.65,9.8725,-0.7437500000000001,-0.4225,9.91343508036189
5272.25,5272.75,9.88,-0.869,-0.213,9.92220602066114
5272.25,5272.85,9.888,-0.659,-0.05,9.911155276314757
5272.25,5272.95,9.871,-0.678,-0.244,9.898373312216815
5272.25,5273.05,9.86181818181818,-0.8,-0.1536363636363636,9.896295459587822
5272.25,5273.15,9.87,-0.8222222222222222,-0.1122222222222222,9.90522456138579
5273.25,5273.25,9.86,-0.7355555555555555,-0.2322222222222222,9.890803835547818
5273.25,5273.35,9.89,-0.6745454545454546,-0.2363636363636363,9.91647894389676
5273.25,5273.45,9.862222222222222,-0.7322222222222223,-0.2177777777777777,9.892191693393492
5273.25,5273.55,9.85909090909091,-0.8081818181818182,-0.2518181818181818,9.895520020738946
5273.25,5273.65,9.865555555555556,-0.8111111111111111,-0.2311111111111111,9.901753001178562
5273.25,5273.75,9.854444444444448,-0.6633333333333334,-0.1288888888888889,9.87769373548756
5273.25,5273.85,9.870909090909093,-0.6836363636363637,-0.1981818181818182,9.896803232357774
5273.25,5273.95,9.88111111111111,-0.75,-0.18,9.911394911168289
5273.25,5274.05,9.820909090909092,-0.8381818181818183,-0.1336363636363636,9.857845717594069
5273.25,5274.15,9.847,-0.742,-0.257,9.878510263482513
5274.25,5274.25,9.8575,-0.62625,-0.205,9.879607963652976
5274.25,5274.35,9.864545454545455,-0.7081818181818181,-0.16,9.891475723748544
5274.25,5274.45,9.86,-0.8522222222222222,-0.2044444444444444,9.899167011873311
5274.25,5274.55,9.873636363636365,-0.8272727272727273,-0.1963636363636363,9.910397752673616
5274.25,5274.65,9.894,-0.6130000000000001,-0.182,9.915004511907965
5274.25,5274.75,9.88625,-0.63,-0.1775,9.908030864826706
5274.25,5274.85,9.879090909090907,-0.8563636363636363,-0.1845454545454545,9.918134351459488
5274.25,5274.95,9.87,-0.8780000000000001,-0.238,9.91199449570848
5274.25,5275.05,9.889,-0.651,-0.204,9.912878975093324
5274.25,5275.15,9.87,-0.5770000000000001,-0.192,9.889105797806083
5275.25,5275.25,9.853333333333332,-0.7922222222222222,-0.2255555555555555,9.887895638116488
5275.25,5275.35,9.868999999999998,-0.922,-0.149,9.91338109705138
5275.25,5275.45,9.865,-0.7609999999999999,-0.1489999999999999,9.895693739844369
5275.25,5275.55,9.889,-0.6119999999999999,-0.237,9.910905175863352
5275.25,5275.65,9.892,-0.666,-0.196,9.916544521063768
5275.25,5275.75,9.845000000000002,-0.875,-0.271,9.887726410577413
5275.25,5275.85,9.85888888888889,-0.8288888888888889,-0.2411111111111111,9.896915604579595
5275.25,5275.95,9.878000000000002,-0.661,-0.1629999999999999,9.901628418660312
5275.25,5276.05,9.852999999999998,-0.625,-0.2,9.87510930114914
5275.25,5276.15,9.864999999999998,-0.768,-0.164,9.896550867551202
5276.25,5276.25,9.855,-0.873,-0.195,9.895768947287708
5276.25,5276.35,9.88888888888889,-0.7322222222222222,-0.2388888888888888,9.919441579040074
5276.25,5276.45,9.885,-0.6180000000000001,-0.203,9.906552111225167
5276.25,5276.55,9.886,-0.6839999999999999,-0.2269999999999999,9.912641462936168
5276.25,5276.65,9.885555555555555,-0.8244444444444444,-0.2377777777777777,9.92295183421394
5276.25,5276.75,9.875,-0.808,-0.195,9.910356457837745
5276.25,5276.85,9.876666666666669,-0.6755555555555556,-0.2088888888888889,9.902290188872444
5276.25,5276.95,9.88,-0.6279999999999999,-0.167,9.901616042110554
5276.25,5277.05,9.885454545454545,-0.7954545454545453,-0.2145454545454545,9.92004980907534
5276.25,5277.15,9.866666666666667,-0.8366666666666667,-0.2344444444444444,9.90496999069054
5277.25,5277.25,9.856,-0.7249999999999999,-0.193,9.884892487050822
5277.25,5277.35,9.893333333333334,-0.6788888888888889,-0.288888888888889,9.9209007102229
5277.25,5277.45,9.866666666666667,-0.74,-0.1877777777777777,9.896738013947967
5277.25,5277.55,9.858181818181816,-0.8218181818181818,-0.1736363636363636,9.894156029167451
5277.25,5277.65,9.852222222222224,-0.7911111111111111,-0.2022222222222222,9.88664108291401
5277.25,5277.75,9.874999999999998,-0.688,-0.1459999999999999,9.900412323260804
5277.25,5277.85,9.882727272727273,-0.6990909090909091,-0.2236363636363636,9.910398780537664
5277.25,5277.95,9.8525,-0.79,-0.21625,9.886708346015514
5277.25,5278.05,9.848181818181818,-0.8218181818181818,-0.2245454545454545,9.885199818764692
5277.25,5278.15,9.851111111111113,-0.7611111111111112,-0.2733333333333334,9.884728469398755
5278.25,5278.25,9.896,-0.66,-0.204,9.920287143464956
5278.25,5278.35,9.83909090909091,-0.7627272727272728,-0.1890909090909091,9.87124077839917
5278.25,5278.45,9.8575,-0.8325,-0.2012499999999999,9.894782083658448
5278.25,5278.55,9.886363636363638,-0.7618181818181818,-0.1109090909090909,9.916734737759649
5278.25,5278.65,9.878,-0.6779999999999999,-0.197,9.903434192680622
5278.25,5278.75,9.883333333333333,-0.7244444444444444,-0.2344444444444444,9.912860363214666
5278.25,5278.85,9.882727272727273,-0.8136363636363636,-0.2363636363636363,9.91942505819463
5278.25,5278.95,9.86875,-0.80625,-0.29625,9.906246330785567
5278.25,5279.05,9.870909090909093,-0.6981818181818181,-0.1899999999999999,9.897914980248292
5278.25,5279.15,9.867,-0.685,-0.145,9.892124550947653
5279.25,5279.25,9.874444444444444,-0.7655555555555555,-0.1711111111111111,9.905851752278672
5279.25,5279.35,9.878181818181815,-0.8309090909090909,-0.1536363636363636,9.914448500189014
5279.25,5279.45,9.88111111111111,-0.7100000000000001,-0.1688888888888888,9.9085932804656
5279.25,5279.55,9.884,-0.6839999999999999,-0.224,9.910478796191764
5279.25,5279.65,9.87,-0.7379999999999999,-0.199,9.900040199651526
5279.25,5279.75,9.885555555555555,-0.791111111111111,-0.2533333333333333,9.920920012046787
5279.25,5279.85,9.895454545454545,-0.7718181818181818,-0.2027272727272727,9.928140378554945
5279.25,5279.95,9.864,-0.6730000000000002,-0.1589999999999999,9.888647732520226
5279.25,5280.05,9.882222222222222,-0.6922222222222223,-0.1877777777777777,9.908334630950646
5279.25,5280.15,9.863,-0.794,-0.155,9.896393310350811
5280.25,5280.25,9.858,-0.817,-0.172,9.893451886103929
5280.25,5280.35,9.878000000000002,-0.6990000000000001,-0.283,9.906937431587572
5280.25,5280.45,9.887999999999998,-0.6639999999999999,-0.148,9.911557437209966
5280.25,5280.55,9.878888888888888,-0.7611111111111112,-0.22,9.910972623311965
5280.25,5280.65,9.862,-0.8489999999999999,-0.2659999999999999,9.902286498856595
5280.25,5280.75,9.881,-0.753,-0.108,9.91037911080024
5280.25,5280.85,9.89,-0.65,-0.204,9.913683202562405
5280.25,5280.95,9.855,-0.6880000000000001,-0.197,9.881093644872529
5280.25,5281.05,9.885555555555555,-0.8066666666666666,-0.1666666666666666,9.920057869440848
5280.25,5281.15,9.857777777777777,-0.8077777777777779,-0.29,9.895216311392376
