packet_timestamp,time,lat,lon,alt,acc_x,acc_y,acc_z,acc_mag,vel_x,vel_y,vel_z,vel_mag
5267.25,5267.85,47.9868608,-81.8484864,560.34,9.863000000000001,-0.7160000000000001,-0.32700000000000007,9.89451383812293,0.0,0.0,0.0,0.0
5267.25,5267.95,47.9868608,-81.8484864,560.1175000000001,9.875555555555556,-0.7544444444444444,-0.29555555555555557,9.908982030249984,0.0,0.0,0.0,0.0
5267.25,5268.05,47.98686080000001,-81.8484864,560.162,9.861818181818181,-0.7563636363636363,-0.2763636363636364,9.894874818918096,0.0,0.0,0.0,0.0
5267.25,5268.15,47.9868608,-81.8484864,559.9395,9.851111111111113,-0.74,-0.09666666666666668,9.880066196714905,0.0,0.0,0.0,0.0
5268.25,5268.25,47.9868608,-81.8484864,559.895,9.873999999999999,-0.7350000000000001,-0.099,9.90221894170305,0.0,0.0,0.0,0.0
5268.25,5268.35,47.9868608,-81.8484864,559.8505,9.864,-0.736,-0.11900000000000002,9.892676391155149,0.0,0.0,0.0,0.0
5268.25,5268.45,47.9868608,-81.8484864,559.8505,9.875,-0.767,-0.163,9.906601058767631,0.0,0.0,0.0,0.0
5268.25,5268.55,47.98686080000001,-81.8484864,559.806,9.905000000000001,-0.718,-0.32000000000000006,9.936488550110376,0.0,0.0,0.0,0.0
5268.25,5268.65,47.98686080000001,-81.8484864,560.0285,9.885555555555557,-0.7255555555555555,-0.3288888888888889,9.918219861053073,0.0,0.0,0.0,0.0
5268.25,5268.75,47.9868608,-81.8484864,559.984,9.84,-0.748,-0.209,9.870978027786451,0.0,0.0,0.0,0.0
5268.25,5268.85,47.9868608,-81.8484864,559.673,9.883636363636363,-0.7645454545454545,-0.21,9.915721574066579,0.0,0.0,0.0,0.0
5268.25,5268.95,47.9868608,-81.8484864,559.806,9.894444444444444,-0.7488888888888889,-0.21000000000000002,9.925277723102568,0.0,0.0,0.0,0.0
5268.25,5269.05,47.98686080000001,-81.8484864,560.4290000000001,9.87,-0.746,-0.093,9.898733406475497,0.0,0.0,0.0,0.0
5268.25,5269.15,47.9868608,-81.8484864,560.4735000000001,9.858888888888888,-0.7522222222222221,-0.19333333333333333,9.889568687932336,0.0,0.0,0.0,0.0
5269.25,5269.25,47.9868608,-81.8484864,560.607,9.843,-0.7329999999999999,-0.23900000000000005,9.873338472154256,0.0,0.0,0.0,0.0
5269.25,5269.35,47.9868608,-81.8484864,560.162,9.846363636363636,-0.7,-0.21727272727272728,9.873806120755203,0.0,0.0,0.0,0.0
5269.25,5269.45,47.9868608,-81.8484864,560.429,9.846666666666666,-0.7799999999999999,-0.16222222222222224,9.879196758038223,0.0,0.0,0.0,0.0
5269.25,5269.55,47.98686080000001,-81.8484864,560.2955,9.865,-0.788,-0.192,9.898510127448683,0.0,0.0,0.0,0.0
5269.25,5269.65,47.9868608,-81.8484864,560.162,9.896,-0.7070000000000001,-0.23199999999999998,9.924308301028699,0.0,0.0,0.0,0.0
5269.25,5269.75,47.9868608,-81.8484864,559.984,9.86111111111111,-0.6433333333333333,-0.11444444444444445,9.882995715109658,0.0,0.0,0.0,0.0
5269.25,5269.85,47.9868608,-81.8484864,560.162,9.861818181818183,-0.7599999999999999,-0.25272727272727274,9.894819925350895,0.0,0.0,0.0,0.0
5269.25,5269.95,47.9868608,-81.8484864,560.34,9.89777777777778,-0.8133333333333334,-0.3055555555555556,9.936094250473552,0.0,0.0,0.0,0.0
5269.25,5270.05,47.98686080000001,-81.8484864,559.984,9.867,-0.73,-0.156,9.895375728370317,0.0,0.0,0.0,0.0
5269.25,5270.15,47.9868608,-81.8484864,559.895,9.905000000000001,-0.672,-0.25999999999999995,9.931341344458257,0.0,0.0,0.0,0.0
5270.25,5270.25,47.9868608,-81.8484864,559.7175,9.876666666666667,-0.7011111111111111,-0.22,9.904321914758205,0.0,0.0,0.0,0.0
5270.25,5270.35,47.9868608,-81.8484864,559.984,9.847272727272726,-0.7763636363636363,-0.13272727272727272,9.87896332809614,0.0,0.0,0.0,0.0
