mission_time,latitude,longitude
5264.25,47.9868608,-81.8484864
5264.31,47.9868608,-81.8484864
5264.32,47.9868608,-81.8484864
5264.41,47.9868608,-81.8484864
5264.41,47.9868608,-81.8484864
5264.5,47.9868608,-81.8484864
5264.51,47.9868608,-81.8484864
5264.58,47.9868608,-81.8484864
5264.61,47.9868608,-81.8484864
5264.66,47.9868608,-81.8484864
5264.71,47.9868608,-81.8484864
5264.74,47.9868608,-81.8484864
5264.81,47.9868608,-81.8484864
5264.82,47.9868608,-81.8484864
5264.91,47.9868608,-81.8484864
5264.91,47.9868608,-81.8484864
5265.0,47.9868608,-81.8484864
5265.01,47.9868608,-81.8484864
5265.08,47.9868608,-81.8484864
5265.11,47.9868608,-81.8484864
5265.16,47.9868608,-81.8484864
5265.21,47.9868608,-81.8484864
5265.24,47.9868608,-81.8484864
5265.31,47.9868608,-81.8484864
5265.32,47.9868608,-81.8484864
5265.41,47.9868608,-81.8484864
5265.41,47.9868608,-81.8484864
5265.5,47.9868608,-81.8484864
5265.51,47.9868608,-81.8484864
5265.58,47.9868608,-81.8484864
5265.61,47.9868608,-81.8484864
5265.66,47.9868608,-81.8484864
5265.71,47.9868608,-81.8484864
5265.74,47.9868608,-81.8484864
5265.81,47.9868608,-81.8484864
5265.82,47.9868608,-81.8484864
5265.91,47.9868608,-81.8484864
5265.91,47.9868608,-81.8484864
5266.0,47.9868608,-81.8484864
5266.01,47.9868608,-81.8484864
5266.07,47.9868608,-81.8484864
5266.11,47.9868608,-81.8484864
5266.16,47.9868608,-81.8484864
5266.21,47.9868608,-81.8484864
5266.23,47.9868608,-81.8484864
5266.31,47.9868608,-81.8484864
5266.32,47.9868608,-81.8484864
5266.41,47.9868608,-81.8484864
5266.41,47.9868608,-81.8484864
5266.49,47.9868608,-81.8484864
5266.51,47.9868608,-81.8484864
5266.57,47.9868608,-81.8484864
5266.61,47.9868608,-81.8484864
5266.66,47.9868608,-81.8484864
5266.71,47.9868608,-81.8484864
5266.73,47.9868608,-81.8484864
5266.81,47.9868608,-81.8484864
5266.82,47.9868608,-81.8484864
5266.91,47.9868608,-81.8484864
5266.91,47.9868608,-81.8484864
5266.98,47.9868608,-81.8484864
5267.01,47.9868608,-81.8484864
5267.07,47.9868608,-81.8484864
5267.11,47.9868608,-81.8484864
5267.16,47.9868608,-81.8484864
5267.21,47.9868608,-81.8484864
5267.23,47.9868608,-81.8484864
5267.31,47.9868608,-81.8484864
5267.31,47.9868608,-81.8484864
5267.4,47.9868608,-81.8484864
5267.41,47.9868608,-81.8484864
5267.47,47.9868608,-81.8484864
5267.51,47.9868608,-81.8484864
5267.56,47.9868608,-81.8484864
5267.61,47.9868608,-81.8484864
5267.65,47.9868608,-81.8484864
5267.71,47.9868608,-81.8484864
5267.73,47.9868608,-81.8484864
5267.81,47.9868608,-81.8484864
5267.81,47.9868608,-81.8484864
5267.89,47.9868608,-81.8484864
5267.91,47.9868608,-81.8484864
5267.97,47.9868608,-81.8484864
5268.01,47.9868608,-81.8484864
5268.06,47.9868608,-81.8484864
5268.11,47.9868608,-81.8484864
5268.14,47.9868608,-81.8484864
5268.21,47.9868608,-81.8484864
5268.23,47.9868608,-81.8484864
5268.31,47.9868608,-81.8484864
5268.31,47.9868608,-81.8484864
5268.39,47.9868608,-81.8484864
5268.41,47.9868608,-81.8484864
5268.47,47.9868608,-81.8484864
5268.51,47.9868608,-81.8484864
5268.56,47.9868608,-81.8484864
5268.61,47.9868608,-81.8484864
5268.65,47.9868608,-81.8484864
5268.71,47.9868608,-81.8484864
5268.73,47.9868608,-81.8484864
5268.8,47.9868608,-81.8484864
5268.81,47.9868608,-81.8484864
5268.88,47.9868608,-81.8484864
5268.91,47.9868608,-81.8484864
5268.97,47.9868608,-81.8484864
5269.01,47.9868608,-81.8484864
5269.05,47.9868608,-81.8484864
5269.11,47.9868608,-81.8484864
5269.14,47.9868608,-81.8484864
5269.21,47.9868608,-81.8484864
5269.22,47.9868608,-81.8484864
5269.3,47.9868608,-81.8484864
5269.31,47.9868608,-81.8484864
5269.38,47.9868608,-81.8484864
5269.41,47.9868608,-81.8484864
5269.47,47.9868608,-81.8484864
5269.51,47.9868608,-81.8484864
5269.55,47.9868608,-81.8484864
5269.61,47.9868608,-81.8484864
5269.64,47.9868608,-81.8484864
5269.7,47.9868608,-81.8484864
5269.71,47.9868608,-81.8484864
5269.8,47.9868608,-81.8484864
5269.81,47.9868608,-81.8484864
5269.88,47.9868608,-81.8484864
5269.91,47.9868608,-81.8484864
5269.97,47.9868608,-81.8484864
5270.01,47.9868608,-81.8484864
5270.05,47.9868608,-81.8484864
5270.11,47.9868608,-81.8484864
5270.13,47.9868608,-81.8484864
5270.21,47.9868608,-81.8484864
5270.21,47.9868608,-81.8484864
5270.31,47.9868608,-81.8484864
5270.31,47.9868608,-81.8484864
5270.39,47.9868608,-81.8484864
5270.41,47.9868608,-81.8484864
5270.47,47.9868608,-81.8484864
5270.51,47.9868608,-81.8484864
5270.55,47.9868608,-81.8484864
5270.6,47.9868608,-81.8484864
5270.63,47.9868608,-81.8484864
5270.71,47.9868608,-81.8484864
5270.71,47.9868608,-81.8484864
5270.8,47.9868608,-81.8484864
